Server / IP	Port Num	Direction	Ass'y	Messages				Parameters			Action	Remark		
				Name		S	F	#	Name	Description				
				MESSAGES	ID									
		V → H		REQ_RESULT		107	8	1	nDataID	Req ID 형태로 보낸다.	Req ID + 1000			
								2	nStatus	status	0 = STATUS_ERROR 1 = STATUS_SUCCESS			
								3	cData[10][64]	cData[0] : Error Description	0=BUSY, 1=CAM_DISCONNET			
										cData[1] : Offset Data X	 (X Axis, mm단위)			
										cData[2] : Offset Data Y	 (Y Axis, mm단위)			
										cData[3] : Picker Rotation	 0 = 0도, 1 = 90도, 2 = 180도, 3 = 270도			
		H → V	Piggyback	REQ_MEASURE		107	7	1	nDataID	ID 값 사용	Piggyback 검사 요청을 한다			
								2	nStatus					
								3	cData[10][64]	cData[0] : 검사 종류 정보	0 = Empty Check, 1 = Exist Check			
										cData[1] : 검사 위치 정보	1 = Station No.1, 2 = Station No.2, …	Station Numbering 참조 (표 아래 그림)		
										cData[2] : PKG name	현재 검사하는 PKG			
										cData[3] : Socket Type 정보	0 : Single Type, 1 : Dual Type - 가로배치, 2 : Dual type - 세로배치			
										cData[4] : Scoket 검사 위치	cData[4][0] (Socket 1번)  = 1 -> 검사, 0 -> 검사 X cData[4][1] (Socket 2번)  = 1 -> 검사, 0 -> 검사 X ……  cData[4][31] (Socket 32번)  = 1 -> 검사, 0 -> 검사 X	검사 요청 위치 전달		
		V → H		REQ_RESULT		107	8	1	nDataID	Req ID 형태로 보낸다.	Req ID + 1000			
								2	nStatus	status	0 = STATUS_ERROR 1 = STATUS_SUCCESS			
								3	cData[10][64]	cData[0] : Error Description	0=BUSY, 1=CAM_DISCONNET, 2=VISION_LIGHT_OFF			
										cData[1] : 결과	[ '0' : OK ] [ '1' : NG ]	검사 요청 종류 전체 결과		
										cData[2] : 결과 Description	cData[2][0] : Socket 1번, 0 = OK, 1 = NG, 2 = LEAVE (Empty 검사 요청시 OK : Empty, NG : Exist) (Exist 검사 요청시 OK : Exist, NG : Empty) cData[2][1] : Socket 2번, 0 = OK, 1 = NG, 2 = LEAVE, cData[2][2] : Socket 3번, 0 = OK, 1 = NG, 2 = LEAVE, … cData[2][31] : Socket 32번, 0 = OK, 1 = NG, 2 = LEAVE	Socket Numbering 참조 (표 아래 그림) 검사 요청에 맞춰 OK/NG/LEAVE 판정		
		H → V	Ball Inspection	REQ_MEASURE		107	9	1	nDataID	ID 값 사용	Ball Inspection 검사 요청을 한다			
								2	nStatus					
								3	cData[10][64]					
		V → H		REQ_RESULT		107	10	1	nDataID	Req ID 형태로 보낸다.	Req ID + 1000			
								2	nStatus	status	0 = STATUS_ERROR 1 = STATUS_SUCCESS			
								3	cData[10][64]	cData[0] : Error Description	0=BUSY, 1=CAM_DISCONNET			
										cData[1] : 결과	[ '0' : OK ] [ '1' : NG ]			
										cData[2] : 결과 Description	0 : Missing 1 : Ball Inspection 추가 기능용 예비			
		H → V	Piggyback Inspection Ready	REQ_MEASURE		107	9	1	nDataID	ID 값 사용	Piggyback 검사 전 위치 정보를 준다.			
								2	nStatus					
								3	cData[10][64]	cData[0] : 검사 위치 정보	1 = Station No.1, 2 = Station No.2, …			
 * PC(n) Port Num = PC(n-1) Port Num + 1 Crack Inspection 미포함 : PLVI 포함시 PLVI Protocol에 포함 예정, 따로 구현시 Crack 관련 Protocol 추가 예정 (25.03.17 - Crack Inspection 앞으로도 할 일 없음)														
														
														
Server / IP	Port Num	Direction	Ass'y	Messages				Parameters			Action	Remark		
				Name		S	F	#	Name	Description				
				MESSAGES	ID									
PC1~2	8000 ~8001	H → V	SET_COK	REQ_MEASURE		107	11	1	nCmd		1000 : SET_COK			
								2	nStatus					
								3	cData[10][64]	cData[0] : PKG 수량	1 = 1PKG, 2 = 2PKG			
										cData[1] : PKG1 Name				
										cData[2][0] : PKG1 C-tray X cData[2][1] : PKG1 C-tray Y				
										cData[3] : PKG1 Thickness				
										cData[4] : PKG1 Shuttle Orientation	0 : Device 전체 0도 1 : Device 전체 90도 2 : Device 0도/90도 순서 3 : Device 90도/0도 순서	PLVI기준 0도 = 180도 90도 = 270도		
										cData[5] : PKG2 Name				
										cData[6][0] : PKG2 C-tray X cData[6][1] : PKG2 C-tray Y				
										cData[7] : PKG2 Thickness				
										cData[8] : PKG2 Shuttle Orientation	0 : Device 전체 0도 1 : Device 전체 90도 2 : Device 0도/90도 순서 3 : Device 90도/0도 순서	PLVI기준 0도 = 180도 90도 = 270도		
		V → H		REQ_RESULT		107	12	1	nDataID		1000 : SET_COK			
								2	nIndex	PC 번호	0 : Vision PC1 1 : Vision PC2			
								3	nRCMDACK	status	0 = STATUS_ERROR 1 = STATUS_SUCCESS 2 = STATUS_NEWPACKAGE 3 = STATUS_NO_TEACHING_DATA			
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
	25.03.17	장비 후면 확장 계획 없음												
